,DOMAIN,NON_PATTERN_P,NON_PATTERN_R,NON_PATTERN_F,NOUN_ADP_NOUN,NOUN_ADJ,NOUN_ADP_DET_NOUN,NOUN_ADP_NOUN_ADJ,NOUN_ADP_NOUN_ADP_NOUN,NOUN_ADJ_ADJ,NOUN_ADP_NOUN_ADP_DET_NOUN,NOUN_ADJ_ADP_NOUN,NOUN_ADP_DET_NOUN_ADJ,NOUN_ADJ_ADP_DET_NOUN,ADJ_NOUN,NOUN_NOUN,NOUN_ADP_DET_NOUN_ADP_NOUN,NOUN_ADP_DET_NOUN_ADP_DET_NOUN
0,ann_camembert_wind.pkl,13.69,40.36,20.45,20.52,19.61,19.83,20.58,20.28,20.36,20.28,20.32,20.29,20.25,19.93,19.44,20.22,20.36
1,nes_camembert_wind.pkl,17.32,40.19,24.21,23.82,23.03,23.38,24.25,23.85,24.09,23.91,24.2,23.96,23.98,23.59,22.55,23.94,24.09
