,DOMAIN,NON_PATTERN_P,NON_PATTERN_R,NON_PATTERN_F1,ADJ_NOUN_P,ADJ_NOUN_R,ADJ_NOUN_F1,NOUN_NOUN_P,NOUN_NOUN_R,NOUN_NOUN_F1,ADJ_ADJ_NOUN_P,ADJ_ADJ_NOUN_R,ADJ_ADJ_NOUN_F1,ADJ_NOUN_NOUN_P,ADJ_NOUN_NOUN_R,ADJ_NOUN_NOUN_F1,NOUN_ADJ_NOUN_P,NOUN_ADJ_NOUN_R,NOUN_ADJ_NOUN_F1,NOUN_NOUN_NOUN_P,NOUN_NOUN_NOUN_R,NOUN_NOUN_NOUN_F1,NOUN_ADP_NOUN_P,NOUN_ADP_NOUN_R,NOUN_ADP_NOUN_F1,NOUN_ADP_ADJ_NOUN_P,NOUN_ADP_ADJ_NOUN_R,NOUN_ADP_ADJ_NOUN_F1,ADJ_NOUN_ADP_NOUN_P,ADJ_NOUN_ADP_NOUN_R,ADJ_NOUN_ADP_NOUN_F1,NOUN_ADP_NOUN_NOUN_P,NOUN_ADP_NOUN_NOUN_R,NOUN_ADP_NOUN_NOUN_F1,ADJ_NOUN_ADP_ADJ_NOUN_P,ADJ_NOUN_ADP_ADJ_NOUN_R,ADJ_NOUN_ADP_ADJ_NOUN_F1,ADV_ADJ_NOUN_P,ADV_ADJ_NOUN_R,ADV_ADJ_NOUN_F1,NOUN_PRON_P,NOUN_PRON_R,NOUN_PRON_F1,ADJ_NOUN_ADJ_NOUN_P,ADJ_NOUN_ADJ_NOUN_R,ADJ_NOUN_ADJ_NOUN_F1
0,ann_xlnet_htfl.pkl,40.09,23.38,29.54,37.48,26.81,31.26,31.48,31.6,31.54,39.8,24.06,29.99,38.8,24.14,29.76,39.8,23.55,29.59,38.9,23.68,29.44,36.77,23.42,28.61,39.26,23.38,29.31,39.29,23.38,29.32,38.9,23.38,29.21,39.86,23.38,29.47,39.86,23.38,29.47,39.34,23.59,29.49,40.09,23.38,29.54
1,ann_xlnet_wind.pkl,19.87,27.41,23.04,19.4,30.43,23.69,21.23,44.64,28.78,19.74,27.41,22.95,20.03,28.51,23.53,19.78,27.5,23.01,20.01,28.87,23.64,18.99,27.68,22.53,19.56,27.41,22.83,19.59,27.41,22.85,19.52,27.41,22.8,19.81,27.41,23.0,19.7,27.41,22.92,19.34,27.41,22.68,19.87,27.41,23.04
2,ann_xlnet_equi.pkl,38.89,62.25,47.87,33.1,64.68,43.79,31.89,68.31,43.48,38.22,62.25,47.36,38.35,62.42,47.51,38.59,62.25,47.64,38.55,62.25,47.61,36.16,62.42,45.79,38.16,62.25,47.32,38.7,62.25,47.73,38.53,62.25,47.6,38.82,62.25,47.82,38.33,62.25,47.45,38.5,62.34,47.6,38.86,62.25,47.85
3,ann_xlnet_corp.pkl,38.61,59.22,46.74,35.39,63.75,45.51,30.98,64.51,41.86,38.08,59.44,46.42,38.25,59.33,46.51,38.26,59.22,46.49,38.43,59.33,46.65,35.35,59.22,44.27,37.57,59.33,46.01,38.1,59.22,46.37,37.99,59.22,46.29,38.45,59.22,46.63,38.31,59.22,46.52,38.3,59.33,46.55,38.53,59.22,46.69
4,nes_xlnet_htfl.pkl,45.16,34.82,39.32,42.92,38.84,40.78,35.94,42.44,38.92,45.0,35.55,39.72,43.78,35.13,38.98,44.84,34.93,39.27,44.34,35.28,39.29,41.77,34.85,38.0,44.23,34.82,38.96,44.38,34.82,39.02,43.95,34.82,38.86,44.84,34.82,39.2,44.89,34.82,39.22,44.61,35.09,39.28,45.14,34.82,39.31
5,nes_xlnet_wind.pkl,27.88,30.77,29.25,26.79,32.66,29.44,26.79,41.92,32.69,27.75,30.77,29.18,27.85,31.42,29.53,27.77,30.83,29.22,27.55,31.36,29.33,26.67,30.9,28.63,27.46,30.77,29.02,27.69,30.83,29.18,27.43,30.77,29.0,27.81,30.77,29.22,27.7,30.77,29.15,27.36,30.77,28.96,27.88,30.77,29.25
6,nes_xlnet_equi.pkl,47.91,53.08,50.36,40.23,55.17,46.53,39.32,58.1,46.9,47.13,53.08,49.93,47.15,53.14,49.97,47.55,53.08,50.16,47.5,53.14,50.16,44.28,53.33,48.39,46.94,53.08,49.82,47.5,53.08,50.14,47.39,53.08,50.07,47.72,53.08,50.26,47.05,53.08,49.88,47.53,53.14,50.18,47.88,53.08,50.35
7,nes_xlnet_corp.pkl,42.5,52.69,47.05,39.93,58.99,47.62,34.87,58.14,43.59,42.04,52.94,46.86,42.14,52.77,46.86,42.1,52.69,46.8,42.18,52.86,46.92,39.24,53.62,45.32,41.18,52.77,46.26,41.96,52.69,46.72,41.81,52.69,46.62,42.24,52.69,46.89,42.18,52.69,46.85,42.39,52.69,46.98,42.5,52.69,47.05
