,DOMAIN,NON_PATTERN_P,NON_PATTERN_R,NON_PATTERN_F1
0,/gdrive/MyDrive/TermEval/nl_domains/ann_bert_htfl.pkl,60.4,59.5,59.95
1,/gdrive/MyDrive/TermEval/nl_domains/ann_bert_wind.pkl,56.45,75.43,64.57
2,/gdrive/MyDrive/TermEval/nl_domains/ann_bert_equi.pkl,65.92,75.95,70.58
3,/gdrive/MyDrive/TermEval/nl_domains/ann_bert_corp.pkl,61.21,69.63,65.15
4,/gdrive/MyDrive/TermEval/nl_domains/nes_bert_htfl.pkl,63.54,58.83,61.09
5,/gdrive/MyDrive/TermEval/nl_domains/nes_bert_wind.pkl,59.8,68.35,63.79
6,/gdrive/MyDrive/TermEval/nl_domains/nes_bert_equi.pkl,67.7,72.47,70.0
7,/gdrive/MyDrive/TermEval/nl_domains/nes_bert_corp.pkl,61.03,66.87,63.82
