,DOMAIN,NON_PATTERN,NOUN_ADP_NOUN,NOUN_ADJ,NOUN_ADP_DET_NOUN,NOUN_ADP_NOUN_ADJ,NOUN_ADP_NOUN_ADP_NOUN,NOUN_ADJ_ADJ,NOUN_ADP_NOUN_ADP_DET_NOUN,NOUN_ADJ_ADP_NOUN,NOUN_ADP_DET_NOUN_ADJ,NOUN_ADJ_ADP_DET_NOUN,ADJ_NOUN,NOUN_NOUN,NOUN_ADP_DET_NOUN_ADP_NOUN,NOUN_ADP_DET_NOUN_ADP_DET_NOUN
0,ann_camembert_htfl.pkl,46.77,45.81,46.09,45.6,46.47,46.62,46.84,46.69,46.63,46.28,46.67,46.32,46.38,46.65,46.69
1,nes_camembert_htfl.pkl,43.26,42.37,42.54,42.34,43.12,43.12,43.32,43.22,43.11,42.89,43.09,43.04,43.07,43.15,43.19
