,DOMAIN,NON_PATTERN_P,NON_PATTERN_R,NON_PATTERN_F1,ADJ_NOUN_P,ADJ_NOUN_R,ADJ_NOUN_F1,NOUN_NOUN_P,NOUN_NOUN_R,NOUN_NOUN_F1,ADJ_ADJ_NOUN_P,ADJ_ADJ_NOUN_R,ADJ_ADJ_NOUN_F1,ADJ_NOUN_NOUN_P,ADJ_NOUN_NOUN_R,ADJ_NOUN_NOUN_F1,NOUN_ADJ_NOUN_P,NOUN_ADJ_NOUN_R,NOUN_ADJ_NOUN_F1,NOUN_NOUN_NOUN_P,NOUN_NOUN_NOUN_R,NOUN_NOUN_NOUN_F1,NOUN_ADP_NOUN_P,NOUN_ADP_NOUN_R,NOUN_ADP_NOUN_F1,NOUN_ADP_ADJ_NOUN_P,NOUN_ADP_ADJ_NOUN_R,NOUN_ADP_ADJ_NOUN_F1,ADJ_NOUN_ADP_NOUN_P,ADJ_NOUN_ADP_NOUN_R,ADJ_NOUN_ADP_NOUN_F1,NOUN_ADP_NOUN_NOUN_P,NOUN_ADP_NOUN_NOUN_R,NOUN_ADP_NOUN_NOUN_F1,ADJ_NOUN_ADP_ADJ_NOUN_P,ADJ_NOUN_ADP_ADJ_NOUN_R,ADJ_NOUN_ADP_ADJ_NOUN_F1,ADV_ADJ_NOUN_P,ADV_ADJ_NOUN_R,ADV_ADJ_NOUN_F1,NOUN_PRON_P,NOUN_PRON_R,NOUN_PRON_F1,ADJ_NOUN_ADJ_NOUN_P,ADJ_NOUN_ADJ_NOUN_R,ADJ_NOUN_ADJ_NOUN_F1
0,ann_xlnet_htfl.pkl,42.34,24.35,30.92,40.37,27.7,32.86,32.62,31.6,32.1,42.3,25.03,31.45,41.45,24.86,31.08,42.14,24.52,31.0,41.43,24.57,30.85,39.24,24.4,30.09,41.37,24.35,30.66,41.76,24.35,30.76,41.28,24.35,30.63,42.03,24.35,30.84,42.19,24.35,30.88,41.89,24.61,31.0,42.34,24.35,30.92
1,ann_xlnet_wind.pkl,41.46,51.6,45.98,37.39,56.1,44.87,26.81,60.49,37.15,40.87,51.88,45.72,40.44,51.79,45.42,40.59,51.6,45.44,40.31,51.88,45.37,38.46,51.79,44.14,40.39,51.6,45.31,41.03,51.6,45.71,40.63,51.7,45.5,41.28,51.6,45.87,40.95,51.6,45.66,40.1,51.6,45.13,41.4,51.6,45.94
2,ann_xlnet_equi.pkl,45.12,58.01,50.76,36.98,61.21,46.11,35.13,65.37,45.7,44.03,58.1,50.1,44.12,58.1,50.15,44.61,58.01,50.44,44.61,58.01,50.44,40.98,58.44,48.18,44.14,58.01,50.13,44.67,58.01,50.47,44.64,58.01,50.45,44.91,58.01,50.63,44.17,58.01,50.15,44.44,58.1,50.36,45.09,58.01,50.74
3,ann_xlnet_corp.pkl,23.7,6.9,10.69,25.43,7.98,12.15,12.5,10.25,11.26,23.62,6.9,10.68,24.18,7.12,11.0,23.53,6.9,10.67,24.0,7.12,10.98,22.41,7.01,10.68,22.78,6.9,10.59,23.44,6.9,10.66,23.44,6.9,10.66,23.36,6.9,10.65,23.53,6.9,10.67,23.27,6.9,10.64,23.62,6.9,10.68
4,nes_xlnet_htfl.pkl,44.07,31.45,36.71,42.29,35.44,38.56,34.98,38.14,36.49,43.88,32.15,37.11,43.13,31.84,36.63,43.81,31.64,36.74,43.56,31.64,36.66,41.15,31.49,35.68,42.97,31.45,36.32,43.27,31.45,36.43,43.06,31.45,36.35,43.71,31.45,36.58,43.87,31.45,36.64,43.77,31.68,36.76,44.04,31.45,36.7
5,nes_xlnet_wind.pkl,41.76,48.24,44.77,38.84,51.17,44.16,30.31,54.5,38.96,41.3,48.44,44.59,40.93,48.24,44.29,41.19,48.31,44.47,41.05,48.31,44.39,39.5,48.31,43.46,40.84,48.24,44.23,41.51,48.31,44.65,41.02,48.24,44.34,41.57,48.24,44.66,41.34,48.24,44.52,40.95,48.24,44.3,41.74,48.24,44.76
6,nes_xlnet_equi.pkl,52.04,54.22,53.11,42.98,56.57,48.85,41.27,58.41,48.37,50.89,54.29,52.54,51.17,54.29,52.68,51.51,54.22,52.83,51.66,54.29,52.94,47.64,54.48,50.83,50.86,54.22,52.49,51.41,54.22,52.78,51.38,54.22,52.76,51.91,54.22,53.04,51.02,54.22,52.57,51.76,54.29,52.99,52.01,54.22,53.09
7,nes_xlnet_corp.pkl,29.24,15.43,20.2,28.62,15.69,20.27,18.53,18.67,18.6,29.24,15.43,20.2,29.28,15.6,20.36,29.24,15.43,20.2,29.21,15.52,20.27,28.15,15.43,19.93,28.73,15.43,20.08,29.19,15.43,20.19,29.01,15.43,20.15,29.01,15.43,20.15,29.15,15.43,20.18,29.1,15.43,20.17,29.19,15.43,20.19
